scenario	status	pattern	replicates	correct	correct_rate	high_two_path_rate	mean_PP_XM	mean_PP_global_MY	mean_PP_nonaligned_P	mean_PP_two_path	median_elapsed_seconds
matched_null	matched	null	50	50	1	0	0.132231404958683	0.0483383685800662	0.0483578678257375	0.0063918503907533	0.124
matched_mediation	matched	mediation	50	50	1	1	1	1	0.0484563809172958	1	0.125
matched_pleiotropy	matched	pleiotropy	50	50	1	0	0.999999999999999	0.0503470394756687	0.999999999999999	0.0503470394756687	0.128
matched_coexistence	matched	coexistence	50	50	1	1	1	1	1	1	0.131
moderate_mediation	numerical_stress	mediation	50	0	0	0.16	0.53016115665069	0.298216743109063	0.999999996131214	0.262664664182	0.125999999999999
weak_mediation	weak_information	diagnostic	50	NA	NA	0	0.132231404960195	0.0486667290297193	0.436188748473493	0.00643526995441632	0.1225
few_B_mediation	weak_information	mediation	50	49	0.98	1	1	0.99999991095911	0.0710622344194741	0.99999991095911	0.0609999999999999
no_M_anchor_mediation	identification_boundary	diagnostic	50	NA	NA	1	1	0.999999535371356	0.0910974761450709	0.999999535371356	0.0555000000000003
sparse_pleiotropy	misspecified_mixture	diagnostic	50	NA	NA	0	0.999999999999996	0.0483383687874306	0.6575204617677	0.0483383687874306	0.118
near_aligned_pleiotropy	near_boundary	diagnostic	50	NA	NA	1	0.999999999999998	0.999284800257816	0.566735133470578	0.999284800257816	0.1155
exact_aligned_pleiotropy	nonidentified_boundary	diagnostic	50	NA	NA	1	0.999999999999998	0.99999999874721	0.048383555687105	0.99999999874721	0.118
directional_d_pleiotropy	misspecified_mean	diagnostic	50	NA	NA	1	1	1	1	1	0.118
sparse_outcome_outliers	misspecified_tails	diagnostic	50	NA	NA	0	1	0.0483383685800605	1	0.0483383685800605	0.116000000000001
overlap_null	undeclared_sample_overlap	diagnostic	50	NA	NA	0	0.132231404958683	0.0483383685800996	0.0483875205683216	0.00639185039075775	0.119
ld_null	ignored_ld	diagnostic	50	NA	NA	0	0.132231404958683	0.0483386169538556	0.0702478556589953	0.00639188323356824	0.1195
ld_mediation	ignored_ld	diagnostic	50	NA	NA	1	1	0.999999999999988	0.0500739526261312	0.999999999999988	0.1175
low_variance_null	scale_misspecification	diagnostic	50	NA	NA	0	0.132231404958683	0.0483383685804413	0.048347833686911	0.00639185039080297	0.1225
high_variance_null	scale_misspecification	diagnostic	50	NA	NA	0	0.132231404958678	0.0483385030734739	0.996701090266385	0.00639186817500471	0.128499999999999
low_variance_mediation	scale_misspecification	diagnostic	50	NA	NA	1	1	0.999999999997974	0.0483649189564463	0.999999999997974	0.121000000000002
role_contamination_pleiotropy	role_misspecification	diagnostic	50	NA	NA	0	0.999999999999998	0.0511594195703595	0.999999999999998	0.0511594195703595	0.1175
