scenario	pattern	profile	replicates	successful	correct	correct_rate	high_two_path_rate	mean_PP_XM	mean_PP_global_MY	mean_PP_sparse_P	mean_PP_directional_P	mean_PP_two_path	max_evidence_difference	max_relevant_evidence_difference	median_elapsed_seconds
matched_null	null	default	50	50	50	1	0	0.0663969698576277	0.0178462789840123	0.0295166169196424	0.00356747546724308	0.00140927118407057	0.521523711319873	0.479818739808636	1.204
moderate_mediation	mediation	default	50	50	44	0.88	0.88	0.990365494758434	0.925748068529571	0.117441142063335	0.00312316672153767	0.917034792671052	0.441248719996281	0.4253919172005	1.222
weak_mediation	diagnostic	default	50	50	NA	NA	0.08	0.543558796334769	0.59293864464752	0.246870079732465	0.00368225931140274	0.332371692412236	0.504936128013838	0.504936128013838	1.1785
sparse_pleiotropy	sparse	default	50	50	41	0.82	0	0.999756003354936	0.0451072325066161	0.863290893847687	0.00518049717788462	0.0451044243794858	0.494132151992616	0.443080112936656	1.156
directional_pleiotropy	directional	default	50	50	49	0.98	0	0.999998655596247	0.0265246397529733	0.0453593830468277	1	0.0265246224366736	3.03163364767789	0.463190112532445	1.6425
two_pleiotropy	two_pleiotropy	default	50	50	41	0.82	0.02	0.999999920273416	0.0579198197417158	0.830501683599764	0.999999999999999	0.0579198145825534	10.5934621403297	0.52982686792339	1.563
mediation_sparse_20_blocks	diagnostic	default	50	50	NA	NA	0.78	0.981175752949839	0.864334707791476	0.811513016811245	0.0082105541633295	0.849031299908587	0.410270201432468	0.391275322827425	1.1835
mediation_sparse_30_blocks	mediation_sparse	default	50	50	45	0.9	0.96	0.997321761739082	0.972997021563277	0.94913918573865	0.00566117444497996	0.970327181090032	0.489376961072793	0.321333682731279	1.7425
declared_overlap_null	null	default	50	50	50	1	0	0.0548627075575502	0.0174321699750625	0.0318197955250599	0.0105738839538281	0.000917201197356027	0.477256176617018	0.477256176617018	1.18
undeclared_overlap_null	diagnostic	default	50	50	NA	NA	0	0.0702143010535385	0.0322010678672756	0.0335246285716695	0.00457424811789212	0.00162161872005712	0.684496613176663	0.460512121406538	1.18600000000001
ld_null	null	default	50	50	50	1	0	0.0646812312747765	0.0180830611751756	0.0294577169592668	0.00343090516735477	0.00110484410685556	0.554302579554019	0.554302579554019	1.17200000000001
ld_mediation	mediation	default	50	50	42	0.84	0.84	0.953329087169863	0.938330703378621	0.0997964243973215	0.00546390052103041	0.896986235485515	0.437819852011529	0.437819852011529	1.2015
high_scale_declared_null	null	default	50	50	50	1	0	0.056733301839416	0.0188323144590089	0.02631730711647	0.00483416428580791	0.00115273251593111	0.495850441472612	0.495850441472612	1.1715
high_scale_misspecified_null	diagnostic	default	50	50	NA	NA	0	0.177051760951739	0.101050594284399	0.571467447696295	0.0975547653226517	0.0252420411669215	0.792668198777314	0.792668198777314	1.1835
low_scale_mediation	diagnostic	default	50	50	NA	NA	0.84	0.968079426299374	0.905976637881162	0.121221227862903	0.00128636017813294	0.879208022519482	0.492758662386507	0.481401753042349	1.19649999999999
few_blocks_sparse	diagnostic	default	50	50	NA	NA	0	0.922673895925789	0.121488541447065	0.617490221604119	0.00942443524920674	0.111729132110277	0.549011256463146	0.531617163540645	0.483499999999992
near_aligned_pleiotropy	diagnostic	default	50	50	NA	NA	0.44	0.999939580220447	0.558281384183492	0.498379096989961	0.00475453992399397	0.558234133032097	0.514231335453701	0.430701992270841	1.245
exact_aligned_pleiotropy	diagnostic	default	50	50	NA	NA	0.92	0.999989890067222	0.902267011362171	0.146189636103124	0.00356172201114223	0.902257866443649	0.454655132784325	0.417187194379949	1.22350000000002
orientation_70pct	directional	default	50	50	50	1	0	0.999815060854519	0.0176978682380299	0.0364624844877457	1	0.0176960779950069	6.11205031985924	0.448159805531205	3.61149999999999
skeptical_prior_mediation	mediation	skeptical	50	50	44	0.88	0.88	0.98535546831127	0.925517635020302	0.100327835425538	0.00207734538354258	0.912305779096987	0.461446029125895	0.41537329498081	1.1605
diffuse_prior_null	null	diffuse	50	50	50	1	0	0.124030789099348	0.0461036597329163	0.0463105809094623	0.00557421646485327	0.00652394754363162	0.562130941128601	0.562130941128601	1.2195
