scenario	replicate	proteins
baseline	1	100
baseline	2	100
baseline	3	100
baseline	4	100
baseline	5	100
baseline	6	100
baseline	7	100
baseline	8	100
baseline	9	100
baseline	10	100
baseline	11	100
baseline	12	100
baseline	13	100
baseline	14	100
baseline	15	100
baseline	16	100
baseline	17	100
baseline	18	100
baseline	19	100
baseline	20	100
baseline	21	100
baseline	22	100
baseline	23	100
baseline	24	100
baseline	25	100
baseline	26	100
baseline	27	100
baseline	28	100
baseline	29	100
baseline	30	100
baseline	31	100
baseline	32	100
baseline	33	100
baseline	34	100
baseline	35	100
baseline	36	100
baseline	37	100
baseline	38	100
baseline	39	100
baseline	40	100
baseline	41	100
baseline	42	100
baseline	43	100
baseline	44	100
baseline	45	100
baseline	46	100
baseline	47	100
baseline	48	100
baseline	49	100
baseline	50	100
rare	1	100
rare	2	100
rare	3	100
rare	4	100
rare	5	100
rare	6	100
rare	7	100
rare	8	100
rare	9	100
rare	10	100
rare	11	100
rare	12	100
rare	13	100
rare	14	100
rare	15	100
rare	16	100
rare	17	100
rare	18	100
rare	19	100
rare	20	100
rare	21	100
rare	22	100
rare	23	100
rare	24	100
rare	25	100
rare	26	100
rare	27	100
rare	28	100
rare	29	100
rare	30	100
rare	31	100
rare	32	100
rare	33	100
rare	34	100
rare	35	100
rare	36	100
rare	37	100
rare	38	100
rare	39	100
rare	40	100
rare	41	100
rare	42	100
rare	43	100
rare	44	100
rare	45	100
rare	46	100
rare	47	100
rare	48	100
rare	49	100
rare	50	100
composite_null	1	100
composite_null	2	100
composite_null	3	100
composite_null	4	100
composite_null	5	100
composite_null	6	100
composite_null	7	100
composite_null	8	100
composite_null	9	100
composite_null	10	100
composite_null	11	100
composite_null	12	100
composite_null	13	100
composite_null	14	100
composite_null	15	100
composite_null	16	100
composite_null	17	100
composite_null	18	100
composite_null	19	100
composite_null	20	100
composite_null	21	100
composite_null	22	100
composite_null	23	100
composite_null	24	100
composite_null	25	100
composite_null	26	100
composite_null	27	100
composite_null	28	100
composite_null	29	100
composite_null	30	100
composite_null	31	100
composite_null	32	100
composite_null	33	100
composite_null	34	100
composite_null	35	100
composite_null	36	100
composite_null	37	100
composite_null	38	100
composite_null	39	100
composite_null	40	100
composite_null	41	100
composite_null	42	100
composite_null	43	100
composite_null	44	100
composite_null	45	100
composite_null	46	100
composite_null	47	100
composite_null	48	100
composite_null	49	100
composite_null	50	100
mixed	1	100
mixed	2	100
mixed	3	100
mixed	4	100
mixed	5	100
mixed	6	100
mixed	7	100
mixed	8	100
mixed	9	100
mixed	10	100
