scenario	pattern	profile	replicates	successful	correct	correct_rate	high_two_path_rate	mean_PP_XM	mean_PP_global_MY	mean_PP_sparse_P	mean_PP_directional_P	mean_PP_two_path	max_evidence_difference	median_elapsed_seconds
matched_null	null	default	50	50	50	1	0	0.0737021130494698	0.0144268812402153	0.027668952291348	0.00288792647443361	0.000901288436074615	0.436837391327444	1.202
moderate_mediation	mediation	default	50	50	43	0.86	0.92	0.986053594755157	0.947160957955264	0.0913021427464869	0.00420780089750983	0.93441590487027	0.43387785979175	1.2405
weak_mediation	diagnostic	default	50	50	NA	NA	0.16	0.555442450309367	0.606822353463038	0.252359614577245	0.00236364837784789	0.341541727283059	0.483071772418356	1.2155
sparse_pleiotropy	sparse	default	50	50	42	0.84	0	0.999834719211581	0.0643845901645494	0.890935842055698	0.00403707440299426	0.0643819582839564	0.468965059784779	1.186
directional_pleiotropy	directional	default	50	46	46	1	0	0.999962973304498	0.0189143742328851	0.0325499069034832	1	0.018913786710175	0.835414340538364	1.718
two_pleiotropy	two_pleiotropy	default	50	50	42	0.84	0	0.999999996793488	0.038140627457135	0.868422770890291	1	0.0381406273528243	0.660729349734993	1.632
mediation_sparse	mediation_sparse	default	50	50	29	0.58	0.84	0.982515280849296	0.92334281299224	0.766039578474935	0.00293736561381714	0.906008704297713	0.594769434700737	1.2345
declared_overlap_null	null	default	50	50	49	0.98	0	0.0491634208145549	0.0248745015375829	0.0446584659629285	0.00259906759616739	0.0012297434891282	0.544982213384998	1.216
undeclared_overlap_null	diagnostic	default	50	50	NA	NA	0	0.0715465673919835	0.0219967113412917	0.0278803135976942	0.00417040529470671	0.0014360076996699	0.553242332875769	1.2475
ld_null	null	default	50	50	47	0.94	0	0.0801709836016901	0.0400766277770455	0.0400664880449576	0.00281348114547931	0.00287946231670388	0.542279673836418	1.2935
ld_mediation	mediation	default	50	50	44	0.88	0.88	0.94402660681157	0.954651483389125	0.0797627094720873	0.00357270300780407	0.903787337808039	0.465478721238668	1.2075
high_scale_declared_null	null	default	50	50	49	0.98	0	0.0665139869800022	0.0224748345849643	0.0307362174804653	0.00486001276697284	0.00150856190207198	0.441131491051152	1.1795
high_scale_misspecified_null	diagnostic	default	50	50	NA	NA	0	0.132226322969497	0.245057611916858	0.621689980632813	0.0805754441107516	0.0296817425304241	0.506708476973103	1.1855
low_scale_mediation	diagnostic	default	50	50	NA	NA	0.88	0.96461884002509	0.914840921706886	0.12655327971168	0.00277759628687662	0.883663568342968	0.460787120898146	1.2745
few_blocks_sparse	diagnostic	default	50	50	NA	NA	0	0.977351433259656	0.0930552207361938	0.529715955300141	0.00442381219727832	0.0894928962077707	0.581804160075279	0.541999999999987
near_aligned_pleiotropy	diagnostic	default	50	50	NA	NA	0.54	0.999654617510869	0.612125313899107	0.440118376224158	0.00389380150980416	0.611811374563179	0.486153713104443	1.247
exact_aligned_pleiotropy	diagnostic	default	50	50	NA	NA	0.92	0.99999542729171	0.928009518638593	0.121095829809504	0.00261522510777113	0.928005089249441	0.477475471275056	1.23850000000002
orientation_70pct	diagnostic	default	50	43	NA	NA	0.744186046511628	0.975732861343435	0.805828237883404	1	0.726208170178957	0.782561434811636	0.988174367991405	1.569
skeptical_prior_mediation	mediation	skeptical	50	50	43	0.86	0.9	0.973444021209505	0.946189319250557	0.0768165929141109	0.00287464718581069	0.921954458117534	0.420401191276028	1.2145
diffuse_prior_null	null	diffuse	50	50	50	1	0	0.133210638720099	0.0377192914703009	0.0434272298865171	0.00450644242328991	0.00440708275093132	0.409254292129262	1.22799999999999
