cell	method	threshold	true_scenario	replicates	total_proteins	selected_proteins	mean_replicate_selection_rate	pooled_selection_rate
aligned_proportional_boundary	adaptive_eBH	0.01	M0	200	0	0	0	nan
aligned_proportional_boundary	adaptive_eBH	0.01	M1	200	49852	0	0	0
aligned_proportional_boundary	adaptive_eBH	0.01	M2	200	0	0	0	nan
aligned_proportional_boundary	adaptive_eBH	0.01	M3	200	0	0	0	nan
aligned_proportional_boundary	adaptive_eBH	0.01	M4	200	0	0	0	nan
aligned_proportional_boundary	adaptive_eBH	0.01	M5	200	50148	0	0	0
aligned_proportional_boundary	adaptive_eBH	0.05	M0	200	0	0	0	nan
aligned_proportional_boundary	adaptive_eBH	0.05	M1	200	49852	0	0	0
aligned_proportional_boundary	adaptive_eBH	0.05	M2	200	0	0	0	nan
aligned_proportional_boundary	adaptive_eBH	0.05	M3	200	0	0	0	nan
aligned_proportional_boundary	adaptive_eBH	0.05	M4	200	0	0	0	nan
aligned_proportional_boundary	adaptive_eBH	0.05	M5	200	50148	0	0	0
aligned_proportional_boundary	adaptive_eBH	0.1	M0	200	0	0	0	nan
aligned_proportional_boundary	adaptive_eBH	0.1	M1	200	49852	0	0	0
aligned_proportional_boundary	adaptive_eBH	0.1	M2	200	0	0	0	nan
aligned_proportional_boundary	adaptive_eBH	0.1	M3	200	0	0	0	nan
aligned_proportional_boundary	adaptive_eBH	0.1	M4	200	0	0	0	nan
aligned_proportional_boundary	adaptive_eBH	0.1	M5	200	50148	0	0	0
aligned_proportional_boundary	balanced_AdaFilter	0.01	M0	200	0	0	0	nan
aligned_proportional_boundary	balanced_AdaFilter	0.01	M1	200	49852	29098	0.583433	0.583688
aligned_proportional_boundary	balanced_AdaFilter	0.01	M2	200	0	0	0	nan
aligned_proportional_boundary	balanced_AdaFilter	0.01	M3	200	0	0	0	nan
aligned_proportional_boundary	balanced_AdaFilter	0.01	M4	200	0	0	0	nan
aligned_proportional_boundary	balanced_AdaFilter	0.01	M5	200	50148	29092	0.580205	0.580123
aligned_proportional_boundary	balanced_AdaFilter	0.05	M0	200	0	0	0	nan
aligned_proportional_boundary	balanced_AdaFilter	0.05	M1	200	49852	47760	0.958012	0.958036
aligned_proportional_boundary	balanced_AdaFilter	0.05	M2	200	0	0	0	nan
aligned_proportional_boundary	balanced_AdaFilter	0.05	M3	200	0	0	0	nan
aligned_proportional_boundary	balanced_AdaFilter	0.05	M4	200	0	0	0	nan
aligned_proportional_boundary	balanced_AdaFilter	0.05	M5	200	50148	47938	0.955962	0.95593
aligned_proportional_boundary	balanced_AdaFilter	0.1	M0	200	0	0	0	nan
aligned_proportional_boundary	balanced_AdaFilter	0.1	M1	200	49852	49360	0.990108	0.990131
aligned_proportional_boundary	balanced_AdaFilter	0.1	M2	200	0	0	0	nan
aligned_proportional_boundary	balanced_AdaFilter	0.1	M3	200	0	0	0	nan
aligned_proportional_boundary	balanced_AdaFilter	0.1	M4	200	0	0	0	nan
aligned_proportional_boundary	balanced_AdaFilter	0.1	M5	200	50148	49597	0.989015	0.989013
aligned_proportional_boundary	balanced_BY	0.01	M0	200	0	0	0	nan
aligned_proportional_boundary	balanced_BY	0.01	M1	200	49852	3	6.01601e-05	6.01781e-05
aligned_proportional_boundary	balanced_BY	0.01	M2	200	0	0	0	nan
aligned_proportional_boundary	balanced_BY	0.01	M3	200	0	0	0	nan
aligned_proportional_boundary	balanced_BY	0.01	M4	200	0	0	0	nan
aligned_proportional_boundary	balanced_BY	0.01	M5	200	50148	2	3.81818e-05	3.98819e-05
aligned_proportional_boundary	balanced_BY	0.05	M0	200	0	0	0	nan
aligned_proportional_boundary	balanced_BY	0.05	M1	200	49852	17386	0.348576	0.348752
aligned_proportional_boundary	balanced_BY	0.05	M2	200	0	0	0	nan
aligned_proportional_boundary	balanced_BY	0.05	M3	200	0	0	0	nan
aligned_proportional_boundary	balanced_BY	0.05	M4	200	0	0	0	nan
aligned_proportional_boundary	balanced_BY	0.05	M5	200	50148	17160	0.342279	0.342187
aligned_proportional_boundary	balanced_BY	0.1	M0	200	0	0	0	nan
aligned_proportional_boundary	balanced_BY	0.1	M1	200	49852	36040	0.722634	0.72294
aligned_proportional_boundary	balanced_BY	0.1	M2	200	0	0	0	nan
aligned_proportional_boundary	balanced_BY	0.1	M3	200	0	0	0	nan
aligned_proportional_boundary	balanced_BY	0.1	M4	200	0	0	0	nan
aligned_proportional_boundary	balanced_BY	0.1	M5	200	50148	35941	0.716896	0.716699
aligned_proportional_boundary	balanced_eBH	0.01	M0	200	0	0	0	nan
aligned_proportional_boundary	balanced_eBH	0.01	M1	200	49852	0	0	0
aligned_proportional_boundary	balanced_eBH	0.01	M2	200	0	0	0	nan
aligned_proportional_boundary	balanced_eBH	0.01	M3	200	0	0	0	nan
aligned_proportional_boundary	balanced_eBH	0.01	M4	200	0	0	0	nan
aligned_proportional_boundary	balanced_eBH	0.01	M5	200	50148	0	0	0
aligned_proportional_boundary	balanced_eBH	0.05	M0	200	0	0	0	nan
aligned_proportional_boundary	balanced_eBH	0.05	M1	200	49852	676	0.0136352	0.0135601
aligned_proportional_boundary	balanced_eBH	0.05	M2	200	0	0	0	nan
aligned_proportional_boundary	balanced_eBH	0.05	M3	200	0	0	0	nan
aligned_proportional_boundary	balanced_eBH	0.05	M4	200	0	0	0	nan
aligned_proportional_boundary	balanced_eBH	0.05	M5	200	50148	615	0.0122159	0.0122637
aligned_proportional_boundary	balanced_eBH	0.1	M0	200	0	0	0	nan
aligned_proportional_boundary	balanced_eBH	0.1	M1	200	49852	28656	0.574511	0.574821
aligned_proportional_boundary	balanced_eBH	0.1	M2	200	0	0	0	nan
aligned_proportional_boundary	balanced_eBH	0.1	M3	200	0	0	0	nan
aligned_proportional_boundary	balanced_eBH	0.1	M4	200	0	0	0	nan
aligned_proportional_boundary	balanced_eBH	0.1	M5	200	50148	28584	0.57008	0.569993
aligned_proportional_boundary	balanced_p2e_eBH	0.01	M0	200	0	0	0	nan
aligned_proportional_boundary	balanced_p2e_eBH	0.01	M1	200	49852	0	0	0
aligned_proportional_boundary	balanced_p2e_eBH	0.01	M2	200	0	0	0	nan
aligned_proportional_boundary	balanced_p2e_eBH	0.01	M3	200	0	0	0	nan
aligned_proportional_boundary	balanced_p2e_eBH	0.01	M4	200	0	0	0	nan
aligned_proportional_boundary	balanced_p2e_eBH	0.01	M5	200	50148	0	0	0
aligned_proportional_boundary	balanced_p2e_eBH	0.05	M0	200	0	0	0	nan
aligned_proportional_boundary	balanced_p2e_eBH	0.05	M1	200	49852	1	2.1097e-05	2.00594e-05
aligned_proportional_boundary	balanced_p2e_eBH	0.05	M2	200	0	0	0	nan
aligned_proportional_boundary	balanced_p2e_eBH	0.05	M3	200	0	0	0	nan
aligned_proportional_boundary	balanced_p2e_eBH	0.05	M4	200	0	0	0	nan
aligned_proportional_boundary	balanced_p2e_eBH	0.05	M5	200	50148	1	1.94553e-05	1.9941e-05
aligned_proportional_boundary	balanced_p2e_eBH	0.1	M0	200	0	0	0	nan
aligned_proportional_boundary	balanced_p2e_eBH	0.1	M1	200	49852	2	4.05523e-05	4.01188e-05
aligned_proportional_boundary	balanced_p2e_eBH	0.1	M2	200	0	0	0	nan
aligned_proportional_boundary	balanced_p2e_eBH	0.1	M3	200	0	0	0	nan
aligned_proportional_boundary	balanced_p2e_eBH	0.1	M4	200	0	0	0	nan
aligned_proportional_boundary	balanced_p2e_eBH	0.1	M5	200	50148	2	3.81818e-05	3.98819e-05
aligned_proportional_boundary	bayesian_FDR	0.01	M0	200	0	0	0	nan
aligned_proportional_boundary	bayesian_FDR	0.01	M1	200	49852	0	0	0
aligned_proportional_boundary	bayesian_FDR	0.01	M2	200	0	0	0	nan
aligned_proportional_boundary	bayesian_FDR	0.01	M3	200	0	0	0	nan
aligned_proportional_boundary	bayesian_FDR	0.01	M4	200	0	0	0	nan
aligned_proportional_boundary	bayesian_FDR	0.01	M5	200	50148	0	0	0
aligned_proportional_boundary	bayesian_FDR	0.05	M0	200	0	0	0	nan
aligned_proportional_boundary	bayesian_FDR	0.05	M1	200	49852	0	0	0
aligned_proportional_boundary	bayesian_FDR	0.05	M2	200	0	0	0	nan
aligned_proportional_boundary	bayesian_FDR	0.05	M3	200	0	0	0	nan
aligned_proportional_boundary	bayesian_FDR	0.05	M4	200	0	0	0	nan
aligned_proportional_boundary	bayesian_FDR	0.05	M5	200	50148	0	0	0
aligned_proportional_boundary	bayesian_FDR	0.1	M0	200	0	0	0	nan
aligned_proportional_boundary	bayesian_FDR	0.1	M1	200	49852	14	0.000283702	0.000280831
aligned_proportional_boundary	bayesian_FDR	0.1	M2	200	0	0	0	nan
aligned_proportional_boundary	bayesian_FDR	0.1	M3	200	0	0	0	nan
aligned_proportional_boundary	bayesian_FDR	0.1	M4	200	0	0	0	nan
aligned_proportional_boundary	bayesian_FDR	0.1	M5	200	50148	17	0.00034271	0.000338997
aligned_proportional_boundary	directional_BY	0.01	M0	200	0	0	0	nan
aligned_proportional_boundary	directional_BY	0.01	M1	200	49852	0	0	0
aligned_proportional_boundary	directional_BY	0.01	M2	200	0	0	0	nan
aligned_proportional_boundary	directional_BY	0.01	M3	200	0	0	0	nan
aligned_proportional_boundary	directional_BY	0.01	M4	200	0	0	0	nan
aligned_proportional_boundary	directional_BY	0.01	M5	200	50148	0	0	0
aligned_proportional_boundary	directional_BY	0.05	M0	200	0	0	0	nan
aligned_proportional_boundary	directional_BY	0.05	M1	200	49852	0	0	0
aligned_proportional_boundary	directional_BY	0.05	M2	200	0	0	0	nan
aligned_proportional_boundary	directional_BY	0.05	M3	200	0	0	0	nan
aligned_proportional_boundary	directional_BY	0.05	M4	200	0	0	0	nan
aligned_proportional_boundary	directional_BY	0.05	M5	200	50148	0	0	0
aligned_proportional_boundary	directional_BY	0.1	M0	200	0	0	0	nan
aligned_proportional_boundary	directional_BY	0.1	M1	200	49852	0	0	0
aligned_proportional_boundary	directional_BY	0.1	M2	200	0	0	0	nan
aligned_proportional_boundary	directional_BY	0.1	M3	200	0	0	0	nan
aligned_proportional_boundary	directional_BY	0.1	M4	200	0	0	0	nan
aligned_proportional_boundary	directional_BY	0.1	M5	200	50148	0	0	0
aligned_proportional_boundary	directional_eBH	0.01	M0	200	0	0	0	nan
aligned_proportional_boundary	directional_eBH	0.01	M1	200	49852	0	0	0
aligned_proportional_boundary	directional_eBH	0.01	M2	200	0	0	0	nan
aligned_proportional_boundary	directional_eBH	0.01	M3	200	0	0	0	nan
aligned_proportional_boundary	directional_eBH	0.01	M4	200	0	0	0	nan
aligned_proportional_boundary	directional_eBH	0.01	M5	200	50148	0	0	0
aligned_proportional_boundary	directional_eBH	0.05	M0	200	0	0	0	nan
aligned_proportional_boundary	directional_eBH	0.05	M1	200	49852	0	0	0
aligned_proportional_boundary	directional_eBH	0.05	M2	200	0	0	0	nan
aligned_proportional_boundary	directional_eBH	0.05	M3	200	0	0	0	nan
aligned_proportional_boundary	directional_eBH	0.05	M4	200	0	0	0	nan
aligned_proportional_boundary	directional_eBH	0.05	M5	200	50148	0	0	0
aligned_proportional_boundary	directional_eBH	0.1	M0	200	0	0	0	nan
aligned_proportional_boundary	directional_eBH	0.1	M1	200	49852	0	0	0
