cell	method	threshold	replicates	mean_selected	mean_true_positive	mean_false_positive	mean_fdp	se_mean_fdp	q95_fdp	fdp_above_target_rate	pooled_fdp	mean_power	replicates_with_calls
aligned_proportional_boundary	adaptive_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
aligned_proportional_boundary	adaptive_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
aligned_proportional_boundary	adaptive_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
aligned_proportional_boundary	balanced_AdaFilter	0.01	200	290.95	145.49	145.46	0.499991	0.00219702	0.553065	1	0.499948	0.583433	200
aligned_proportional_boundary	balanced_AdaFilter	0.05	200	478.49	238.8	239.69	0.500945	0.00165671	0.541149	1	0.50093	0.958012	200
aligned_proportional_boundary	balanced_AdaFilter	0.1	200	494.785	246.8	247.985	0.501203	0.00164345	0.544636	1	0.501197	0.990108	200
aligned_proportional_boundary	balanced_BY	0.01	200	0.025	0.015	0.01	0.01	0.00705328	0	0.01	0.4	6.01601e-05	5
aligned_proportional_boundary	balanced_BY	0.05	200	172.73	86.93	85.8	0.489445	0.00516076	0.563768	0.985	0.496729	0.348576	197
aligned_proportional_boundary	balanced_BY	0.1	200	359.905	180.2	179.705	0.49948	0.00194301	0.543994	1	0.499312	0.722634	200
aligned_proportional_boundary	balanced_p2e_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
aligned_proportional_boundary	balanced_p2e_eBH	0.05	200	0.01	0.005	0.005	0.005	0.005	0	0.005	0.5	2.1097e-05	2
aligned_proportional_boundary	balanced_p2e_eBH	0.1	200	0.02	0.01	0.01	0.01	0.00705328	0	0.01	0.5	4.05523e-05	4
aligned_proportional_boundary	bayesian_FDR	0.01	200	0	0	0	0	0	0	0	0	0	0
aligned_proportional_boundary	bayesian_FDR	0.05	200	0	0	0	0	0	0	0	0	0	0
aligned_proportional_boundary	bayesian_FDR	0.1	200	0.155	0.07	0.085	0.0666667	0.017524	1	0.07	0.548387	0.000283702	24
aligned_proportional_boundary	directional_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
aligned_proportional_boundary	directional_BY	0.05	200	0	0	0	0	0	0	0	0	0	0
aligned_proportional_boundary	directional_BY	0.1	200	0	0	0	0	0	0	0	0	0	0
aligned_proportional_boundary	directional_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
aligned_proportional_boundary	directional_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
aligned_proportional_boundary	directional_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
balanced_heterogeneity	adaptive_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
balanced_heterogeneity	adaptive_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
balanced_heterogeneity	adaptive_eBH	0.1	200	0.005	0	0.005	0.005	0.005	0	0.005	1	0	1
balanced_heterogeneity	balanced_AdaFilter	0.01	200	0.37	0.355	0.015	0.005	0.00310571	0	0.015	0.0405405	0.00725284	48
balanced_heterogeneity	balanced_AdaFilter	0.05	200	2.645	2.515	0.13	0.0238665	0.00574022	0.2	0.1	0.0491493	0.0500341	132
balanced_heterogeneity	balanced_AdaFilter	0.1	200	8.995	8.155	0.84	0.0707922	0.00656822	0.25	0.32	0.0933852	0.162442	186
balanced_heterogeneity	balanced_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
balanced_heterogeneity	balanced_BY	0.05	200	0.005	0.005	0	0	0	0	0	0	9.09091e-05	1
balanced_heterogeneity	balanced_BY	0.1	200	0.025	0.025	0	0	0	0	0	0	0.000474838	5
