cell	method	threshold	replicates	mean_selected	mean_true_positive	mean_false_positive	mean_fdp	pooled_fdp	mean_power	replicates_with_calls
balanced_heterogeneity	adaptive_eBH	0.01	20	0	0	0	0	0	0	0
balanced_heterogeneity	adaptive_eBH	0.05	20	0	0	0	0	0	0	0
balanced_heterogeneity	adaptive_eBH	0.1	20	0	0	0	0	0	0	0
balanced_heterogeneity	balanced_AdaFilter	0.01	20	0.3	0.3	0	0	0	0.00593883	6
balanced_heterogeneity	balanced_AdaFilter	0.05	20	3.05	2.95	0.1	0.0125	0.0327869	0.0578113	14
balanced_heterogeneity	balanced_AdaFilter	0.1	20	7.7	7.05	0.65	0.0558333	0.0844156	0.140379	20
balanced_heterogeneity	balanced_BY	0.01	20	0	0	0	0	0	0	0
balanced_heterogeneity	balanced_BY	0.05	20	0	0	0	0	0	0	0
balanced_heterogeneity	balanced_BY	0.1	20	0	0	0	0	0	0	0
balanced_heterogeneity	bayesian_FDR	0.01	20	0	0	0	0	0	0	0
balanced_heterogeneity	bayesian_FDR	0.05	20	0	0	0	0	0	0	0
balanced_heterogeneity	bayesian_FDR	0.1	20	0.05	0.05	0	0	0	0.00116279	1
balanced_heterogeneity	directional_BY	0.01	20	0	0	0	0	0	0	0
balanced_heterogeneity	directional_BY	0.05	20	0	0	0	0	0	0	0
balanced_heterogeneity	directional_BY	0.1	20	0	0	0	0	0	0	0
balanced_heterogeneity	directional_eBH	0.01	20	0	0	0	0	0	0	0
balanced_heterogeneity	directional_eBH	0.05	20	0	0	0	0	0	0	0
balanced_heterogeneity	directional_eBH	0.1	20	0	0	0	0	0	0	0
broad_balanced	adaptive_eBH	0.01	20	0	0	0	0	0	0	0
broad_balanced	adaptive_eBH	0.05	20	0	0	0	0	0	0	0
broad_balanced	adaptive_eBH	0.1	20	0	0	0	0	0	0	0
broad_balanced	balanced_AdaFilter	0.01	20	41.7	41.2	0.5	0.0115497	0.0119904	0.831956	20
broad_balanced	balanced_AdaFilter	0.05	20	49.7	48	1.7	0.0322694	0.0342052	0.973982	20
broad_balanced	balanced_AdaFilter	0.1	20	53.2	48.6	4.6	0.0844278	0.0864662	0.986116	20
broad_balanced	balanced_BY	0.01	20	15.95	15.9	0.05	0.00227273	0.0031348	0.311126	20
broad_balanced	balanced_BY	0.05	20	39.15	38.65	0.5	0.01226	0.0127714	0.777558	20
broad_balanced	balanced_BY	0.1	20	44.6	44	0.6	0.012813	0.0134529	0.889355	20
broad_balanced	bayesian_FDR	0.01	20	0.3	0.3	0	0	0	0.00662102	5
broad_balanced	bayesian_FDR	0.05	20	10.75	10.75	0	0	0	0.213309	20
broad_balanced	bayesian_FDR	0.1	20	27	27	0	0	0	0.54294	20
broad_balanced	directional_BY	0.01	20	0	0	0	0	0	0	0
broad_balanced	directional_BY	0.05	20	0	0	0	0	0	0	0
broad_balanced	directional_BY	0.1	20	0	0	0	0	0	0	0
broad_balanced	directional_eBH	0.01	20	0	0	0	0	0	0	0
broad_balanced	directional_eBH	0.05	20	0	0	0	0	0	0	0
broad_balanced	directional_eBH	0.1	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	adaptive_eBH	0.01	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	adaptive_eBH	0.05	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	adaptive_eBH	0.1	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	balanced_AdaFilter	0.01	20	6.25	6.15	0.1	0.0222222	0.016	0.125464	17
dense_cross_protein_dependence	balanced_AdaFilter	0.05	20	34.1	32.9	1.2	0.0333515	0.0351906	0.674944	20
dense_cross_protein_dependence	balanced_AdaFilter	0.1	20	45.25	41.4	3.85	0.0852299	0.0850829	0.852906	20
dense_cross_protein_dependence	balanced_BY	0.01	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	balanced_BY	0.05	20	0.1	0.1	0	0	0	0.00185185	1
dense_cross_protein_dependence	balanced_BY	0.1	20	3.15	3.15	0	0	0	0.0643732	10
dense_cross_protein_dependence	bayesian_FDR	0.01	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	bayesian_FDR	0.05	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	bayesian_FDR	0.1	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	directional_BY	0.01	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	directional_BY	0.05	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	directional_BY	0.1	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	directional_eBH	0.01	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	directional_eBH	0.05	20	0	0	0	0	0	0	0
dense_cross_protein_dependence	directional_eBH	0.1	20	0	0	0	0	0	0	0
directional_pleiotropy	adaptive_eBH	0.01	20	0	0	0	0	0	0	0
directional_pleiotropy	adaptive_eBH	0.05	20	0	0	0	0	0	0	0
directional_pleiotropy	adaptive_eBH	0.1	20	0	0	0	0	0	0	0
directional_pleiotropy	balanced_AdaFilter	0.01	20	26.35	19.25	7.1	0.235322	0.26945	0.404034	20
directional_pleiotropy	balanced_AdaFilter	0.05	20	103.9	43.65	60.25	0.578784	0.579885	0.923397	20
directional_pleiotropy	balanced_AdaFilter	0.1	20	137.85	46.5	91.35	0.662553	0.662677	0.985808	20
directional_pleiotropy	balanced_BY	0.01	20	0.15	0.1	0.05	0.0166667	0.333333	0.00238095	1
directional_pleiotropy	balanced_BY	0.05	20	7.05	5.75	1.3	0.114409	0.184397	0.11828	14
directional_pleiotropy	balanced_BY	0.1	20	33.85	23.1	10.75	0.27222	0.317578	0.484676	20
directional_pleiotropy	bayesian_FDR	0.01	20	0	0	0	0	0	0	0
directional_pleiotropy	bayesian_FDR	0.05	20	0	0	0	0	0	0	0
directional_pleiotropy	bayesian_FDR	0.1	20	0.1	0.1	0	0	0	0.0019883	2
directional_pleiotropy	directional_BY	0.01	20	0	0	0	0	0	0	0
directional_pleiotropy	directional_BY	0.05	20	0	0	0	0	0	0	0
directional_pleiotropy	directional_BY	0.1	20	0	0	0	0	0	0	0
directional_pleiotropy	directional_eBH	0.01	20	0	0	0	0	0	0	0
directional_pleiotropy	directional_eBH	0.05	20	0	0	0	0	0	0	0
directional_pleiotropy	directional_eBH	0.1	20	0	0	0	0	0	0	0
least_favorable_null	adaptive_eBH	0.01	20	0	0	0	0	0	0	0
least_favorable_null	adaptive_eBH	0.05	20	0	0	0	0	0	0	0
least_favorable_null	adaptive_eBH	0.1	20	0	0	0	0	0	0	0
least_favorable_null	balanced_AdaFilter	0.01	20	0	0	0	0	0	0	0
least_favorable_null	balanced_AdaFilter	0.05	20	0	0	0	0	0	0	0
least_favorable_null	balanced_AdaFilter	0.1	20	0	0	0	0	0	0	0
least_favorable_null	balanced_BY	0.01	20	0	0	0	0	0	0	0
least_favorable_null	balanced_BY	0.05	20	0	0	0	0	0	0	0
least_favorable_null	balanced_BY	0.1	20	0	0	0	0	0	0	0
least_favorable_null	bayesian_FDR	0.01	20	0	0	0	0	0	0	0
least_favorable_null	bayesian_FDR	0.05	20	0	0	0	0	0	0	0
least_favorable_null	bayesian_FDR	0.1	20	0	0	0	0	0	0	0
least_favorable_null	directional_BY	0.01	20	0	0	0	0	0	0	0
least_favorable_null	directional_BY	0.05	20	0	0	0	0	0	0	0
least_favorable_null	directional_BY	0.1	20	0	0	0	0	0	0	0
least_favorable_null	directional_eBH	0.01	20	0	0	0	0	0	0	0
least_favorable_null	directional_eBH	0.05	20	0	0	0	0	0	0	0
least_favorable_null	directional_eBH	0.1	20	0	0	0	0	0	0	0
narrow_balanced	adaptive_eBH	0.01	20	0	0	0	0	0	0	0
narrow_balanced	adaptive_eBH	0.05	20	0	0	0	0	0	0	0
narrow_balanced	adaptive_eBH	0.1	20	0	0	0	0	0	0	0
narrow_balanced	balanced_AdaFilter	0.01	20	7.3	7.3	0	0	0	0.152472	17
narrow_balanced	balanced_AdaFilter	0.05	20	34.65	33.25	1.4	0.040318	0.040404	0.67776	20
narrow_balanced	balanced_AdaFilter	0.1	20	46.7	42.5	4.2	0.0886394	0.0899358	0.865689	20
narrow_balanced	balanced_BY	0.01	20	0	0	0	0	0	0	0
narrow_balanced	balanced_BY	0.05	20	0.1	0.1	0	0	0	0.00227273	2
narrow_balanced	balanced_BY	0.1	20	3	3	0	0	0	0.063123	12
narrow_balanced	bayesian_FDR	0.01	20	0	0	0	0	0	0	0
narrow_balanced	bayesian_FDR	0.05	20	0	0	0	0	0	0	0
narrow_balanced	bayesian_FDR	0.1	20	0	0	0	0	0	0	0
narrow_balanced	directional_BY	0.01	20	0	0	0	0	0	0	0
narrow_balanced	directional_BY	0.05	20	0	0	0	0	0	0	0
