cell	scenario	replicate	seed	target_rho	reference_rho	analysis_samples	reference_samples	blocks	variants_per_block	binary_sha256	realized_causal_pair_ld	factor_nA	factor_nB	factor_cross_set_max_r2	factor_beta1	factor_beta2	factor_conjunction_p	factor_min_log_BF	factor_log_e_mediation	factor_log_BF_heterogeneity_MY	regional_PP_shared	regional_PP_distinct	regional_independent_shared_signals	mediation_identifiability	factor_two_stage_status	factor_mediation_status	factor_frequentist_status	factor_ebh_status
matched_high	distinct_ld	1	21360905	0.9	0.9	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	0.7148255152663016	6.0	3.0	0.0	0.728673	nan	0.395561	1.057871	-0.528074	-0.30546	0.0	0.999984	0.0	LD_DISTINCT_SUPPORTED	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
matched_high	distinct_ld	2	21360906	0.9	0.9	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	0.7091952166910724	6.0	3.0	0.0	0.777055	0.444428	0.665835	1.467138	-1.361612	-1.313869	0.0	0.999716	0.0	LD_DISTINCT_SUPPORTED	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
matched_high	distinct_ld	3	21360907	0.9	0.9	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	0.7189956692930322	6.0	3.0	0.0	0.802987	nan	0.392399	1.140295	-0.512281	-0.411092	0.0	0.999161	0.0	LD_DISTINCT_SUPPORTED	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
matched_high	distinct_ld	4	21360908	0.9	0.9	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	0.714262746653378	6.0	3.0	0.0	0.541455	0.315921	0.416929	1.627226	-1.206324	-1.432404	0.0	0.974247	0.0	LD_DISTINCT_SUPPORTED	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
matched_high	distinct_ld	5	21360909	0.9	0.9	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	0.7110186589668878	6.0	3.0	0.0	0.876994	0.721674	0.376564	1.609495	-0.430355	-0.878846	0.0	1.0	0.0	LD_DISTINCT_SUPPORTED	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
matched_high	distinct_ld	6	21360910	0.9	0.9	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	0.701700473817252	6.0	3.0	0.0	0.65658	0.564024	0.410298	1.033838	-0.599192	-0.365389	0.0	0.999509	0.0	LD_DISTINCT_SUPPORTED	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
matched_high	distinct_ld	7	21360911	0.9	0.9	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	0.7107827519350759	6.0	3.0	0.0	0.853064	nan	0.702408	1.309232	-1.422602	-1.345837	4e-06	0.975415	0.0	LD_DISTINCT_SUPPORTED	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
matched_high	distinct_ld	8	21360912	0.9	0.9	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	0.7071683106860371	6.0	3.0	0.0	0.747907	0.483281	0.65119	1.389582	-1.334675	-1.179695	0.0	0.997713	0.0	LD_DISTINCT_SUPPORTED	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
matched_high	distinct_ld	9	21360913	0.9	0.9	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	0.7176291398288667	6.0	3.0	0.0	0.57782	nan	0.963868	0.986854	-1.71988	-0.457459	0.0	0.999111	0.0	LD_DISTINCT_SUPPORTED	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
matched_high	distinct_ld	10	21360914	0.9	0.9	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	0.7086295758937111	6.0	3.0	0.0	0.7701	0.404159	0.35864	1.430181	-0.332148	-1.422503	0.0	0.997526	0.0	LD_DISTINCT_SUPPORTED	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
