cell	true_scenario	n	mean_beta1	mean_beta2	median_p_XM	median_p_MY	median_conjunction_p	reject_conjunction_0.01	reject_conjunction_0.05	reject_conjunction_0.10	BF_XM_gt_10	BF_MY_gt_10	both_BF_gt_10
balanced_pleiotropy	M1	200	0.353179	0.290381	0.007256	0.0125695	0.027023	0.24	0.68	0.835	0.98	0.87	0.855
balanced_pleiotropy	M2	200	0.360397	-0.00726742	0.005729	0.480525	0.480525	0	0.025	0.1	0.995	0.04	0.04
balanced_pleiotropy	M4	200	0.00293429	0.298919	0.540015	0.0084465	0.549971	0	0.01	0.06	0.01	0.905	0.005
balanced_pleiotropy	M5	200	0.345193	-0.00321299	0.00596	0.469724	0.469724	0.005	0.02	0.07	0.98	0.02	0.02
identified_setb4	M1	200	0.349184	0.302275	0.0237875	0.045676	0.0624535	0	0.385	0.7	0.955	0.845	0.815
identified_setb4	M2	200	0.357276	0.00123755	0.0191835	0.55452	0.559326	0	0	0.005	0.955	0.005	0.005
identified_setb4	M4	200	0.00324023	0.290843	0.561001	0.04603	0.572253	0	0.005	0.025	0	0.805	0
identified_setb4	M5	200	0.351852	-0.00584663	0.016436	0.605663	0.605663	0	0	0	0.935	0	0
weak_second_stage	M1	200	0.300474	0.115708	0.086191	0.520378	0.565098	0	0.0131579	0.0460526	0.705	0.0197368	0
weak_second_stage	M2	200	0.297723	0.0237324	0.0637265	0.5763	0.618701	0	0	0.0192308	0.72	0.00641026	0.00641026
weak_second_stage	M4	200	-0.0035587	0.122846	0.581918	0.477583	0.73389	0	0	0	0.01	0.0239521	0
weak_second_stage	M5	200	0.284672	-0.0111442	0.0795155	0.625097	0.631434	0	0.00653595	0.0326797	0.68	0	0
