cell	identification_class	n	n_scored	pair_scored_fraction	n_m1	n_m5	pair_auc	pair_accuracy	pair_accuracy_ci_low	pair_accuracy_ci_high	m1_sensitivity	m1_sensitivity_ci_low	m1_sensitivity_ci_high	m5_specificity	m5_specificity_ci_low	m5_specificity_ci_high	all_state_accuracy	all_state_accuracy_ci_low	all_state_accuracy_ci_high	all_state_m1_recall	all_state_m1_recall_ci_low	all_state_m1_recall_ci_high	all_state_m5_recall	all_state_m5_recall_ci_low	all_state_m5_recall_ci_high	pair_brier	pair_log_loss	pair_ece_10	mean_pair_score_m1	mean_pair_score_m5	m1_p1_ge_0_8	m5_false_p1_ge_0_8	m5_p5_ge_0_8	boundary_m1_pair_call_rate	boundary_m1_pair_call_ci_low	boundary_m1_pair_call_ci_high
boundary_aligned_pleiotropy	nonidentifiable	4000	4000	1.0	2000	2000																							0.9428052272137448	0.9510641845494926	0.724	0.7305	0.0045	0.967	0.9582322305395993	0.9739772472997102
boundary_no_setb	nonidentifiable	4000	3629	0.90725	1926	1703																							0.172448470200096	0.549825136720411	0.03790238836967809	0.009982384028185555	0.08044627128596595	0.5566647093364651	0.5329692801247206	0.5801050766074796
identified_m5_rho05	identified	4000	4000	1.0	2000	2000	0.95618625	0.842	0.8303692969478501	0.8529744438419941	0.9475	0.9368392097083899	0.9564450329748887	0.7365	0.716753028515514	0.7553402081204533	0.61175	0.5965467320563795	0.6267388323683722	0.8465	0.8300389697890471	0.8616325164450447	0.377	0.3560151839089553	0.3984564097222328	0.1115443185021586	0.36795324828265874	0.12209946374261546	0.9306570795843794	0.30087063807070397	0.726	0.0225	0.206			
identified_near_threshold_setb4	identified	4000	4000	1.0	2000	2000	0.79739425	0.72125	0.707147451910728	0.734927994433579	0.6875	0.666842897895218	0.707438209374312	0.755	0.735673828496995	0.773348477389566	0.263	0.24958841604503135	0.2768663600742872	0.359	0.33826501701336736	0.3802755903199459	0.167	0.15129549177258156	0.18398126171673285	0.18598011089646405	0.6272812282928676	0.0674363709604104	0.6651119617555389	0.331405243301595	0.1585	0.009	0.0395			
identified_setb2	identified	4000	4000	1.0	2000	2000	0.907903	0.82425	0.8121455296314101	0.8357322713952186	0.8445	0.8279593275922938	0.859719826830923	0.804	0.7860265415595997	0.8208078936933985	0.5295	0.5140112091086747	0.5449321837372328	0.668	0.6470561319884656	0.6882997401250335	0.391	0.36984241783767074	0.4125754984696423	0.12287741148796374	0.40581483112789807	0.05522138529685497	0.8087663153986266	0.26682114781924837	0.4645	0.0125	0.1545			
identified_setb4	identified	4000	4000	1.0	2000	2000	0.9755315	0.901	0.8913562457782725	0.9098742807033869	0.9555	0.9455562350551854	0.9636973348715931	0.8465	0.8300389697890471	0.8616325164450447	0.62575	0.6106392318566491	0.6406194681559909	0.852	0.8357628296825353	0.8668875690314625	0.3995	0.3782465381323104	0.4211387883712214	0.07320017370191512	0.24303480691541818	0.0871360390713097	0.9384451000383168	0.23582697810430267	0.725	0.012	0.169			
identified_setb8	identified	4000	4000	1.0	2000	2000	0.99914425	0.9135	0.9043871675993918	0.9218193728000252	0.999	0.9963610657309615	0.9997257210823479	0.828	0.8108359859541546	0.8439064310293433	0.6575	0.6426491098858337	0.6720486654779104	0.924	0.9115560319521683	0.9348183119533293	0.391	0.36984241783767074	0.4125754984696423	0.06265920094745502	0.21179800653789163	0.12169722357734614	0.9977982641226978	0.24559618303199449	0.851	0.0125	0.167			
stress_overlap50	assumption_stress	4000	4000	1.0	2000	2000	0.98473225	0.9325	0.9243028078249769	0.9398672737294314	0.966	0.9571215720934327	0.9730917398404393	0.899	0.8850195371949674	0.9114506590745928	0.69625	0.6818158601394615	0.7103075583693308	0.893	0.8786914023121892	0.905801798524746	0.4995	0.47760892019985307	0.521392996847428	0.052677764455098405	0.18589900666442866	0.06512549472410648	0.9481447055456752	0.18210628390253786	0.7645	0.007	0.2505			
stress_setc_heavy	assumption_stress	4000	2483	0.62075	1410	1073	0.6605027992041932	0.6222311719693918	0.602986247530066	0.6410984720032211	0.6390070921985815	0.6135914227351253	0.6636673869810452	0.6001863932898416	0.5705688500653759	0.6290891388046457	0.06225	0.05517440833359025	0.0701655842665434	0.0885	0.07682827914571014	0.10174945076676101	0.036	0.02868460672278366	0.04509441315421905	0.3146809760863435	3.676817212718628	0.28382905284746723	0.6315894009455386	0.401348279454247	0.08794326241134752	0.003727865796831314	0.03821062441752097			
ALL_IDENTIFIABLE	assumption_stress,identified	28000	26483	0.9458214285714286	13410	13073	0.9106242648335142	0.8338556810029075	0.829324490198285	0.8382900318084971	0.8725577926920208	0.866806893505847	0.8780953055155558	0.7941558938269716	0.7871391746615133	0.8009997902574355	0.49228571428571427	0.48643135857589886	0.49814218642737323	0.6615714285714286	0.6536900444078728	0.6693641699163289	0.323	0.3153034251882983	0.33079368219659505	0.12147826090649136	0.6531231979180986	0.08925446356288129	0.8552116262657478	0.272003339119955	0.5595078299776286	0.01185649812590836	0.1540579821005125			
