bin	lower	upper	n	mean_pair_score	observed_m1_fraction
0	0.0	0.1	5515	0.031238585857032153	0.09918404351767905
1	0.1	0.2	2223	0.1463751625079412	0.12595591542959964
2	0.2	0.3	1684	0.24864390630772426	0.17636579572446556
3	0.3	0.4	1429	0.3492817875364698	0.1980405878236529
4	0.4	0.5	1240	0.44738942932450554	0.2435483870967742
5	0.5	0.6	1093	0.5470027500052314	0.2946020128087832
6	0.6	0.7	1019	0.6497352063250592	0.4180569185475957
7	0.7	0.8	885	0.7493753739922484	0.511864406779661
8	0.8	0.9	1078	0.8513946581582442	0.6679035250463822
9	0.9	1.0	10317	0.9899250789792842	0.9479499854608898
