seqid	seqid_raw	probeid	sumstat_file	file_basename	parsed_symbol	parsed_alias	package_symbol	symbol	gene_name	target_full_name	gene_name_hg38	uniprot_ids	entrez_ids	ensembl_gene_ids	gene_id_hg38	cytoband	chromosome_hg38	gene_start_hg38	gene_end_hg38	strand_hg38	tss_hg38	n_somascan_rows	n_coord_rows	mapping_source
"SeqId_12340_17"	"12340_17"	"12340-17"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/12340_17_AARS_SYAC.txt.gz"	"12340_17_AARS_SYAC.txt.gz"	"AARS"	"SYAC"	"AARS1"	"AARS1"	"alanyl-tRNA synthetase 1"	"Alanine--tRNA ligase, cytoplasmic"	NA	"A0A6Q8PF33;A6NF14;B4DR45;P49588;Q53GV7;Q96FA0;A0A6Q8PH44;A0A6Q8PHJ2"	"16"	"ENSG00000090861"	NA	"16q22.1"	NA	NA	NA	NA	NA	8	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_8784_7"	"8784_7"	"8784-7"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/8784_7_FAM175A_F175A.txt.gz"	"8784_7_FAM175A_F175A.txt.gz"	"FAM175A"	"F175A"	"ABRAXAS1"	"ABRAXAS1"	"abraxas 1, BRCA1 A complex subunit"	"BRCA1-A complex subunit Abraxas"	NA	"D6REL5;A5JJ07;Q6UWZ7;Q9H8I1;Q9H9N4"	"84142"	"ENSG00000163322"	NA	"4q21.23"	NA	NA	NA	NA	NA	5	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_8945_7"	"8945_7"	"8945-7"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/8945_7_FAM175B_F175B.txt.gz"	"8945_7_FAM175B_F175B.txt.gz"	"FAM175B"	"F175B"	"ABRAXAS2"	"ABRAXAS2"	"abraxas 2, BRISC complex subunit"	"BRISC complex subunit Abro1"	NA	"B4DKR2;Q15018;Q96H11"	"23172"	"ENSG00000165660"	NA	"10q26.13"	NA	NA	NA	NA	NA	3	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_19317_114"	"19317_114"	"19317-114"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/19317_114_ACPP_Prostatic_acid_phosphatase.txt.gz"	"19317_114_ACPP_Prostatic_acid_phosphatase.txt.gz"	"ACPP"	"Prostatic_acid_phosphatase"	"ACP3"	"ACP3"	"acid phosphatase 3"	"Prostatic acid phosphatase"	NA	"D3DNC6;P15309;Q5FBY0;Q96KY0;Q96QK9;Q96QM0"	"55"	"ENSG00000014257"	NA	"3q22.1"	NA	NA	NA	NA	NA	6	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_6077_63"	"6077_63"	"6077-63"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/6077_63_CECR1_CECR1.txt.gz"	"6077_63_CECR1_CECR1.txt.gz"	"CECR1"	"CECR1"	"ADA2"	"ADA2"	"adenosine deaminase 2"	"Adenosine deaminase CECR1"	NA	"A8K9H4;B2RAS2;Q6ICF1;Q86UB6;Q8NCJ2;Q96K41;Q9NZK5;B4E3Q4;A0A087X0I3;A0A8Q3WM36;B4DHM2"	"51816"	"ENSG00000093072"	NA	"22q11.1"	NA	NA	NA	NA	NA	11	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_17332_3"	"17332_3"	"17332-3"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/17332_3_ADPRHL2_ARHL2.txt.gz"	"17332_3_ADPRHL2_ARHL2.txt.gz"	"ADPRHL2"	"ARHL2"	"ADPRS"	"ADPRS"	"ADP-ribosylserine hydrolase"	"Poly(ADP-ribose) glycohydrolase ARH3"	NA	"Q53G94;Q6IAB8;Q9BY47;Q9NX46;B7ZAN4"	"54936"	"ENSG00000116863"	NA	"1p34.3"	NA	NA	NA	NA	NA	5	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_13998_26"	"13998_26"	"13998-26"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/13998_26_ADSSL1_PURA1.txt.gz"	"13998_26_ADSSL1_PURA1.txt.gz"	"ADSSL1"	"PURA1"	"ADSS1"	"ADSS1"	"adenylosuccinate synthase 1"	"Adenylosuccinate synthetase isozyme 1"	NA	"B3KTV4;Q86TT6;Q8N142;Q8N714"	"122622"	"ENSG00000185100"	NA	"14q32.33"	NA	NA	NA	NA	NA	4	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_12644_63"	"12644_63"	"12644-63"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/12644_63_ADSS_PURA2.txt.gz"	"12644_63_ADSS_PURA2.txt.gz"	"ADSS"	"PURA2"	"ADSS2"	"ADSS2"	"adenylosuccinate synthase 2"	"Adenylosuccinate synthetase isozyme 2"	NA	"A0A024R5Q7;A0A384MEI4;B1AQM5;B4E1L0;P30520;Q96EG7"	"159"	"ENSG00000035687"	NA	"1q44"	NA	NA	NA	NA	NA	6	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_6284_7"	"6284_7"	"6284-7"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/6284_7_FAM150B_F150B.txt.gz"	"6284_7_FAM150B_F150B.txt.gz"	"FAM150B"	"F150B"	"ALKAL2"	"ALKAL2"	"ALK and LTK ligand 2"	"ALK and LTK ligand 2"	NA	"B5MC76;Q6UX46;A0A0B4J1W8"	"285016"	"ENSG00000189292"	NA	"2p25.3"	NA	NA	NA	NA	NA	3	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_6706_18"	"6706_18"	"6706-18"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/6706_18_ALPPL2_PPBN.txt.gz"	"6706_18_ALPPL2_PPBN.txt.gz"	"ALPPL2"	"PPBN"	"ALPG"	"ALPG"	"alkaline phosphatase, germ cell"	"Alkaline phosphatase, placental-like"	NA	"A8KAF2;B2R7C7;P10696;Q16727;Q53S81;Q96CM1"	"251"	"ENSG00000163286"	NA	"2q37.1"	NA	NA	NA	NA	NA	6	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
