PROTEIN	GENE	CHR	START	END
SeqId_10037_98	SIGLEC12	19	51500373	51500373
SeqId_10070_22	PLCG2	16	81739097	81739097
SeqId_10075_75	ACBD6	1	180274681	180274681
SeqId_10080_9	EIF2B1	12	123632447	123632447
SeqId_10088_37	APRT	16	88810268	88810268
SeqId_10339_48	ENO2	12	6913745	6913745
SeqId_10346_5	STAT3	17	42316853	42316853
SeqId_10361_25	OAS1	12	112906783	112906783
SeqId_10364_6	SMAD2	18	47886923	47886923
SeqId_10366_11	PDGFRA	4	54229280	54229280
SeqId_10370_21	STAT1	2	190980233	190980233
SeqId_10372_18	STAT6	12	57097290	57097290
SeqId_10391_1	ANGPTL3	1	62597520	62597520
SeqId_10396_6	MCL1	1	150578777	150578777
SeqId_10419_1	SCARA5	8	27987615	27987615
SeqId_10424_31	NPDC1	9	137040156	137040156
SeqId_10440_26	CLMP	11	123083736	123083736
SeqId_10442_1	TMEM190	19	55376826	55376826
SeqId_10445_20	APOM	6	31652416	31652416
SeqId_10451_11	NUCB1	19	48900312	48900312
SeqId_10462_14	INSL5	1	66801256	66801256
SeqId_10464_6	ANTXR1	2	69013178	69013178
SeqId_10490_3	RPN1	3	128627266	128627266
SeqId_10512_13	CSF2RB	22	36913628	36913628
SeqId_10514_5	PTGDS	9	136975092	136975092
SeqId_10521_10	MXRA8	1	1354247	1354247
SeqId_10552_88	KLRC4	12	10409757	10409757
SeqId_10558_26	PCDH9	13	66306309	66306309
SeqId_10561_5	PGLYRP3	1	153310718	153310718
SeqId_10565_19	SLITRK3	3	165196384	165196384
SeqId_10603_1	HTN3	4	70028413	70028413
SeqId_10605_22	APMAP	20	24992642	24992642
SeqId_10612_18	PLOD3	7	101210439	101210439
SeqId_10620_21	MSMB	10	46046269	46046269
SeqId_10627_87	APLP2	11	130068147	130068147
SeqId_10630_5	HTATIP2	11	20363685	20363685
SeqId_10666_7	GNPTG	16	1351931	1351931
SeqId_10672_75	SFTPB	2	85663478	85663478
SeqId_10708_3	GNRH2	20	3043622	3043622
SeqId_10714_7	ACE	17	63477061	63477061
SeqId_10722_13	SYK	9	90801787	90801787
SeqId_10737_96	SERPINB1	6	2837999	2837999
SeqId_10754_113	PROK2	3	71785148	71785148
SeqId_10761_5	TMED2	12	123584533	123584533
SeqId_10781_19	CLEC4G	19	7732171	7732171
SeqId_10800_15	SERPINH1	11	75562056	75562056
SeqId_10809_14	KLRB1	12	9607916	9607916
SeqId_10816_150	PILRA	7	100367530	100367530
SeqId_10818_36	SMPD1	11	6390440	6390440
SeqId_10827_67	LINGO3	19	2292024	2292024
SeqId_10832_24	B4GALT6	18	31658464	31658464
SeqId_10833_64	HHIP	4	144646156	144646156
SeqId_10847_1	SIGLEC15	18	45825675	45825675
SeqId_10851_77	EBI3	19	4229523	4229523
SeqId_10892_8	OSMR	5	38845858	38845858
SeqId_10903_50	STX8	17	9273434	9273434
SeqId_10907_116	NTM	11	131370478	131370478
SeqId_10908_2	GALNT13	2	153871922	153871922
SeqId_10916_44	PLA2R1	2	159945000	159945000
SeqId_10917_40	GNGT2	17	49208912	49208912
SeqId_10924_258	CYB5D2	17	4143168	4143168
SeqId_10938_13	CD58	1	116544590	116544590
SeqId_10940_25	SRL	16	4239743	4239743
SeqId_10948_14	PLD3	19	40348456	40348456
SeqId_10974_20	SPINK7	5	148312419	148312419
SeqId_10977_55	UCMA	10	13234334	13234334
SeqId_11098_1	PDXK	21	43719094	43719094
SeqId_11102_22	REG4	1	119808805	119808805
SeqId_11103_24	HSPB1	7	76302673	76302673
SeqId_11104_13	CHI3L1	1	203180133	203180133
SeqId_11105_171	ENO1	1	8871576	8871576
SeqId_11109_56	SVEP1	9	110379378	110379378
SeqId_11117_2	SPATA20	17	50543058	50543058
SeqId_11134_30	MTRF1L	6	152994642	152994642
SeqId_11142_11	ANGPTL1	1	178869278	178869278
SeqId_11145_72	KIAA1549L	11	33376083	33376083
SeqId_11152_46	KLK13	19	51064884	51064884
SeqId_11177_16	KRT5	12	52516196	52516196
SeqId_11178_21	SVEP1	9	110379378	110379378
SeqId_11187_11	CLEC12A	12	9951316	9951316
SeqId_11192_168	TINAGL1	1	31576485	31576485
SeqId_11196_31	COL6A3	2	237330180	237330180
SeqId_11208_15	NAGPA	16	5028403	5028403
SeqId_11211_7	TBCE	1	235328570	235328570
SeqId_11212_7	TXNDC5	6	7888961	7888961
SeqId_11219_95	FGFBP3	10	91909486	91909486
SeqId_11227_31	TBL2	7	73571394	73571394
SeqId_11229_16	ERN1	17	64054767	64054767
SeqId_11237_49	PCOLCE	7	100602363	100602363
SeqId_11241_8	ASL	7	66075800	66075800
SeqId_11248_43	UROS	10	125795227	125795227
SeqId_11257_1	QDPR	4	17492508	17492508
SeqId_11266_8	SELPLG	12	108624330	108624330
SeqId_11273_176	GSTT2B	22	23961153	23961153
SeqId_11278_4	COL11A2	6	33177893	33177893
SeqId_11287_14	CYB5A	18	74261177	74261177
SeqId_11288_26	NT5C2	10	103094368	103094368
SeqId_11302_237	TNR	1	175406364	175406364
SeqId_11308_8	CREB3L4	1	153967534	153967534
SeqId_11313_100	PCBD1	10	70885899	70885899
SeqId_11333_82	ARHGAP25	2	68679601	68679601
SeqId_11347_9	TALDO1	11	747415	747415
SeqId_11360_39	RRM1	11	4094707	4094707
SeqId_11361_73	TYMP	22	50526337	50526337
SeqId_11369_23	ADH5	4	99080023	99080023
SeqId_11377_19	ADH7	4	99415874	99415874
SeqId_11378_37	SYK	9	90801787	90801787
SeqId_11382_5	BLVRA	7	43758680	43758680
SeqId_11387_3	ATF6B	6	32120019	32120019
SeqId_11388_75	WFDC2	20	45469753	45469753
SeqId_11424_4	FAH	15	80152490	80152490
SeqId_11428_31	PDLIM1	10	95238848	95238848
SeqId_11431_235	RECQL	12	21501551	21501551
SeqId_11441_11	PYGL	14	50911871	50911871
SeqId_11448_34	GALK1	17	75758518	75758518
SeqId_11449_22	CAPZA1	1	112619805	112619805
SeqId_11476_43	VPS4A	16	69311350	69311350
SeqId_11480_1	ALDH3A1	17	19741356	19741356
SeqId_11493_169	DYNLL2	17	58083419	58083419
