protein	gene	sumstat_file	chr	tss
SeqId_10000_28	CRYBB2	/data/Dutta_lab/aric/EA/SeqId_10000_28.PHENO1.glm.linear	22	25212564
SeqId_10001_7	RAF1	/data/Dutta_lab/aric/EA/SeqId_10001_7.PHENO1.glm.linear	3	12585905
SeqId_10008_43	GUCA1A	/data/Dutta_lab/aric/EA/SeqId_10008_43.PHENO1.glm.linear	6	42155406
SeqId_10012_5	SPDEF	/data/Dutta_lab/aric/EA/SeqId_10012_5.PHENO1.glm.linear	6	34556329
SeqId_10014_31	SNAI2	/data/Dutta_lab/aric/EA/SeqId_10014_31.PHENO1.glm.linear	8	48921429
SeqId_10015_119	KCNAB2	/data/Dutta_lab/aric/EA/SeqId_10015_119.PHENO1.glm.linear	1	5990927
SeqId_10022_207	POLH	/data/Dutta_lab/aric/EA/SeqId_10022_207.PHENO1.glm.linear	6	43576185
SeqId_10023_32	VDR	/data/Dutta_lab/aric/EA/SeqId_10023_32.PHENO1.glm.linear	12	47879115
SeqId_10024_44	HOGA1	/data/Dutta_lab/aric/EA/SeqId_10024_44.PHENO1.glm.linear	10	97584323
SeqId_10030_8	MUTYH	/data/Dutta_lab/aric/EA/SeqId_10030_8.PHENO1.glm.linear	1	45331270
