seqid	seqid_raw	probeid	sumstat_file	file_basename	parsed_symbol	parsed_alias	package_symbol	symbol	gene_name	target_full_name	gene_name_hg38	uniprot_ids	entrez_ids	ensembl_gene_ids	gene_id_hg38	cytoband	chromosome_hg38	gene_start_hg38	gene_end_hg38	strand_hg38	tss_hg38	n_somascan_rows	n_coord_rows	mapping_source
"SeqId_16561_9"	"16561_9"	"16561-9"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/16561_9_A1BG_Alpha_1B_glycoprotein.txt.gz"	"16561_9_A1BG_Alpha_1B_glycoprotein.txt.gz"	"A1BG"	"Alpha_1B_glycoprotein"	"A1BG"	"A1BG"	"alpha-1-B glycoprotein"	"Alpha-1B-glycoprotein"	"A1BG"	"A8K052;P04217;Q68CK0;Q8IYJ6;Q96P39;V9HWD8"	"1"	"ENSG00000121410"	"ENSG00000121410"	"19q13.43"	"19"	58345178	58353499	-1	58353499	6	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_12423_38"	"12423_38"	"12423-38"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/12423_38_A1CF_A1CF.txt.gz"	"12423_38_A1CF_A1CF.txt.gz"	"A1CF"	"A1CF"	"A1CF"	"A1CF"	"APOBEC1 complementation factor"	"APOBEC1 complementation factor"	"A1CF"	"B4E1E3;F8W9F8;A1L4F2;A8K7G7;B7ZM14;Q5SZQ0;Q9NQ93;Q9NQ94;Q9NQX8;Q9NQX9;Q9NXC9;Q9NZD3"	"29974"	"ENSG00000148584"	"ENSG00000148584"	"10q11.23"	"10"	50799409	50885675	-1	50885675	12	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_3708_62"	"3708_62"	"3708-62"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/3708_62_A2M_a2_Macroglobulin.txt.gz"	"3708_62_A2M_a2_Macroglobulin.txt.gz"	"A2M"	"a2_Macroglobulin"	"A2M"	"A2M"	"alpha-2-macroglobulin"	"Alpha-2-macroglobulin"	"A2M"	"P01023;Q13677;Q59F47;Q5QTS0;Q68DN2;Q6PIY3;Q6PN97"	"2"	"ENSG00000175899"	"ENSG00000175899"	"12p13.31"	"12"	9067664	9116229	-1	9116229	7	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_15482_12"	"15482_12"	"15482-12"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/15482_12_A2ML1_A2ML1.txt.gz"	"15482_12_A2ML1_A2ML1.txt.gz"	"A2ML1"	"A2ML1"	"A2ML1"	"A2ML1"	"alpha-2-macroglobulin like 1"	"Alpha-2-macroglobulin-like protein 1"	"A2ML1"	"H0YGG5;A8K2U0;B3KVV6;B5MDD1;B7Z7V4;D3DUV3;F5H2Z2;Q2M224;Q6ZW52;Q6ZW53;Q8N1M4;Q96LQ8"	"144568"	"ENSG00000166535"	"ENSG00000166535"	"12p13.31"	"12"	8822472	8887001	1	8822472	12	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_8759_29"	"8759_29"	"8759-29"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/8759_29_A4GALT_a1_4_Galactosyltransferase.txt.gz"	"8759_29_A4GALT_a1_4_Galactosyltransferase.txt.gz"	"A4GALT"	"a1_4_Galactosyltransferase"	"A4GALT"	"A4GALT"	"alpha 1,4-galactosyltransferase (P1PK blood group)"	"Lactosylceramide 4-alpha-galactosyltransferase"	"A4GALT"	"A0A0S2Z5J1;A9XEA7;B0L3P6;B2R7C4;I6S6F0;Q540I5;Q540I6;Q6RJV9;Q6RJW0;Q6RJW1;Q7Z2I1;Q9NPC4;Q9P1X5;Q5D079;Q7Z7C6"	"53947"	"ENSG00000128274"	"ENSG00000128274"	"22q13.2"	"22"	42692121	42721298	-1	42721298	15	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_10835_25"	"10835_25"	"10835-25"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/10835_25_A4GNT_A4GCT.txt.gz"	"10835_25_A4GNT_A4GCT.txt.gz"	"A4GNT"	"A4GCT"	"A4GNT"	"A4GNT"	"alpha-1,4-N-acetylglucosaminyltransferase"	"Alpha-1,4-N-acetylglucosaminyltransferase"	"A4GNT"	"Q0VDK1;Q0VDK2;Q9UNA3"	"51146"	"ENSG00000118017"	"ENSG00000118017"	"3q22.3"	"3"	138123718	138132387	-1	138132387	3	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_11926_23"	"11926_23"	"11926-23"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/11926_23_AAGAB_P34.txt.gz"	"11926_23_AAGAB_P34.txt.gz"	"AAGAB"	"P34"	"AAGAB"	"AAGAB"	"alpha and gamma adaptin binding protein"	"Alpha- and gamma-adaptin-binding protein p34"	"AAGAB"	"Q6PD74;B4DG44;Q6FI86;Q7Z5X9;Q9H0P1;Q9HAK0"	"79719"	"ENSG00000103591"	"ENSG00000103591"	"15q23"	"15"	67201033	67255195	-1	67255195	6	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_12340_17"	"12340_17"	"12340-17"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/12340_17_AARS_SYAC.txt.gz"	"12340_17_AARS_SYAC.txt.gz"	"AARS"	"SYAC"	"AARS1"	"AARS1"	"alanyl-tRNA synthetase 1"	"Alanine--tRNA ligase, cytoplasmic"	NA	"A0A6Q8PF33;A6NF14;B4DR45;P49588;Q53GV7;Q96FA0;A0A6Q8PH44;A0A6Q8PHJ2"	"16"	"ENSG00000090861"	NA	"16q22.1"	NA	NA	NA	NA	NA	8	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_17320_19"	"17320_19"	"17320-19"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/17320_19_AASDHPPT_ADPPT.txt.gz"	"17320_19_AASDHPPT_ADPPT.txt.gz"	"AASDHPPT"	"ADPPT"	"AASDHPPT"	"AASDHPPT"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"AASDHPPT"	"B2R6D1;B4DDW7;Q9C068;Q9NRN7;Q9P0Q3;Q9UG80;Q9Y389"	"60496"	"ENSG00000149313"	"ENSG00000149313"	"11q22.3"	"11"	106075501	106098710	1	106075501	7	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_8935_22"	"8935_22"	"8935-22"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/8935_22_ABCC6_MRP6.txt.gz"	"8935_22_ABCC6_MRP6.txt.gz"	"ABCC6"	"MRP6"	"ABCC6"	"ABCC6"	"ATP binding cassette subfamily C member 6"	"Multidrug resistance-associated protein 6"	"ABCC6"	"O95255;A0A0G2JMG3;A2RRN8;A8KIG6;A8Y988;E7ESW8;P78420;Q8TCY8;Q9UMZ7"	"368"	"ENSG00000091262;ENSG00000275331"	"ENSG00000091262"	"16p13.11"	"16"	16148928	16223522	-1	16223522	18	1	"SomaScan.db + EnsDb.Hsapiens.v86"
