seqid	seqid_raw	probeid	sumstat_file	file_basename	parsed_symbol	parsed_alias	package_symbol	symbol	gene_name	target_full_name	gene_name_hg38	uniprot_ids	entrez_ids	ensembl_gene_ids	gene_id_hg38	cytoband	chromosome_hg38	gene_start_hg38	gene_end_hg38	strand_hg38	tss_hg38	n_somascan_rows	n_coord_rows	mapping_source
"SeqId_6294_11"	"6294_11"	"6294-11"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/6294_11_BAGE2_BAGE2.txt.gz"	"6294_11_BAGE2_BAGE2.txt.gz"	"BAGE2"	"BAGE2"	"BAGE2"	"BAGE2"	"BAGE family member 2 (pseudogene)"	"B melanoma antigen 2"	"BAGE2"	NA	"85319"	NA	"ENSG00000187172"	"21p11.2"	"21"	10413477	10516431	1	10413477	1	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_18267_74"	"18267_74"	"18267-74"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/18267_74_CARD17_CAR17.txt.gz"	"18267_74_CARD17_CAR17.txt.gz"	"CARD17"	"CAR17"	"CARD17P"	"CARD17P"	"caspase recruitment domain family member 17, pseudogene"	"Caspase recruitment domain-containing protein 17"	NA	NA	"440068"	NA	NA	"11q22.3"	NA	NA	NA	NA	NA	1	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_7778_104"	"7778_104"	"7778-104"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/7778_104_C9orf89_BINCA.txt.gz"	"7778_104_C9orf89_BINCA.txt.gz"	"C9orf89"	"BINCA"	"CARD19"	"CARD19"	"caspase recruitment domain family member 19"	"Caspase recruitment domain-containing protein 19"	"CARD19"	NA	"84270"	"ENSG00000165233"	"ENSG00000165233"	"9q22.31"	"9"	93096218	93113283	1	93096218	1	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_6334_9"	"6334_9"	"6334-9"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/6334_9_GGT2_GGT2.txt.gz"	"6334_9_GGT2_GGT2.txt.gz"	"GGT2"	"GGT2"	"GGT2P"	"GGT2P"	"gamma-glutamyltransferase 2, pseudogene"	"Inactive gamma-glutamyltranspeptidase 2"	NA	NA	"728441"	NA	NA	"22q11.21"	NA	NA	NA	NA	NA	1	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_13230_174"	"13230_174"	"13230-174"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/13230_174_IGHG2_IgG2__Kappa.txt.gz"	"13230_174_IGHG2_IgG2__Kappa.txt.gz"	"IGHG2"	"IgG2__Kappa"	"IGHG2"	"IGHG2"	"immunoglobulin heavy constant gamma 2 (G2m marker)"	"Ig gamma-2, Kappa"	"IGHG2"	NA	"3501"	"ENSG00000211893"	"ENSG00000211893"	"14q32.33"	"14"	105643052	105644790	-1	105644790	1	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_13231_90"	"13231_90"	"13231-90"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/13231_90_IGHG4_IgG4__Kappa.txt.gz"	"13231_90_IGHG4_IgG4__Kappa.txt.gz"	"IGHG4"	"IgG4__Kappa"	"IGHG4"	"IGHG4"	"immunoglobulin heavy constant gamma 4 (G4m marker)"	"Ig gamma-4, Kappa"	"IGHG4"	NA	"3503"	"ENSG00000211892"	"ENSG00000211892"	"14q32.33"	"14"	105624341	105626066	-1	105626066	1	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_6378_2"	"6378_2"	"6378-2"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/6378_2_C5orf38_CEI.txt.gz"	"6378_2_C5orf38_CEI.txt.gz"	"C5orf38"	"CEI"	"IRX2-DT"	"IRX2-DT"	"IRX2 divergent transcript"	"Protein CEI"	NA	NA	"153571"	NA	NA	"5p15.33"	NA	NA	NA	NA	NA	1	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_19492_5"	"19492_5"	"19492-5"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/19492_5_KAAG1_KAAG1.txt.gz"	"19492_5_KAAG1_KAAG1.txt.gz"	"KAAG1"	"KAAG1"	"KAAG1"	"KAAG1"	"kidney associated DCDC2 antisense RNA 1"	"Kidney-associated antigen 1"	"KAAG1"	NA	"353219"	"ENSG00000146049"	"ENSG00000146049"	"6p22.3"	"6"	24356903	24358284	1	24356903	1	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_9954_2"	"9954_2"	"9954-2"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/9954_2_NPIPB3_NPPL3.txt.gz"	"9954_2_NPIPB3_NPPL3.txt.gz"	"NPIPB3"	"NPPL3"	"NPIPB3"	"NPIPB3"	"nuclear pore complex interacting protein family member B3"	"Nuclear pore complex-interacting protein family member B3"	"NPIPB3"	NA	"23117"	"ENSG00000283738;ENSG00000169246"	"ENSG00000169246"	"16p12.2"	"16"	21402237	21448567	-1	21448567	2	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_9544_24"	"9544_24"	"9544-24"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/9544_24_C7orf69_CG069.txt.gz"	"9544_24_C7orf69_CG069.txt.gz"	"C7orf69"	"CG069"	"PKD1L1-AS1"	"PKD1L1-AS1"	"PKD1L1 antisense RNA 1"	"Uncharacterized protein C7orf69"	NA	NA	"80099"	"ENSG00000136275"	NA	"7p12.3"	NA	NA	NA	NA	NA	1	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_7939_1"	"7939_1"	"7939-1"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/7939_1_PQLC2L_CC055.txt.gz"	"7939_1_PQLC2L_CC055.txt.gz"	"PQLC2L"	"CC055"	"SLC66A1LP"	"SLC66A1LP"	"solute carrier family 66 member 1 like, pseudogene"	"Putative uncharacterized protein PQLC2L"	NA	NA	"152078"	"ENSG00000293490"	NA	"3q25.32"	NA	NA	NA	NA	NA	1	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_8263_64"	"8263_64"	"8263-64"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/8263_64_TYMSOS_CR056.txt.gz"	"8263_64_TYMSOS_CR056.txt.gz"	"TYMSOS"	"CR056"	"TYMSOS"	"TYMSOS"	"TYMS opposite strand RNA"	"TYMS opposite strand protein"	"TYMSOS"	NA	"494514"	NA	"ENSG00000176912"	"18p11.32"	"18"	641320	658340	-1	658340	1	1	"SomaScan.db + EnsDb.Hsapiens.v86"
