protein	gene	uniprot	version	panel	sumstat_dir	chr	tss	gene_start	gene_end	strand	gene_id	annotation_matches	annotation_status	resource_source
AMY1C	AMY1A	AMY1B	P0DUB6	P0DTE7_P0DTE8_OID30707_v1_Inflammation_II	/data/Dutta_lab/decode/ukb_ppp/EUR/AMY1A_AMY1B_AMY1C_P0DUB6_P0DTE7_P0DTE8_OID30707_v1_Inflammation_II	1	103655290	103655290	103664554	1	ENSG00000237763	1	unique_match	UKBB_EUR
CGB8	CGB3	CGB5	P0DN86	OID30671_v1_Inflammation_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CGB3_CGB5_CGB8_P0DN86_OID30671_v1_Inflammation_II	19	49024333	49022869	49024333	-1	ENSG00000104827	1	unique_match	UKBB_EUR
O15263	DEFB4A	DEFB4B	OID21373	v1_Oncology	/data/Dutta_lab/decode/ukb_ppp/EUR/DEFB4A_DEFB4B_O15263_OID21373_v1_Oncology	8	7894629	7894629	7896711	1	ENSG00000171711	1	unique_match	UKBB_EUR
OID20049	NPPB	P16860	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/NPPB_P16860_OID20049_v1_Cardiometabolic	1	11858931	11857464	11858931	-1	ENSG00000120937	1	unique_match	UKBB_EUR
OID20050	TNNI3	P19429	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/TNNI3_P19429_OID20050_v1_Cardiometabolic	19	55157773	55151767	55157773	-1	ENSG00000129991	2	multi_match_first	UKBB_EUR
OID20051	HNRNPK	P61978	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/HNRNPK_P61978_OID20051_v1_Cardiometabolic	9	83980616	83968083	83980616	-1	ENSG00000165119	1	unique_match	UKBB_EUR
OID20052	CEBPB	P17676	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CEBPB_P17676_OID20052_v1_Cardiometabolic	20	50190734	50190734	50192689	1	ENSG00000172216	1	unique_match	UKBB_EUR
OID20053	VIM	P08670	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/VIM_P08670_OID20053_v1_Cardiometabolic	10	17228259	17228259	17237593	1	ENSG00000026025	1	unique_match	UKBB_EUR
OID20054	CHEK2	O96017	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CHEK2_O96017_OID20054_v1_Cardiometabolic	22	28742422	28687743	28742422	-1	ENSG00000183765	1	unique_match	UKBB_EUR
OID20055	CRHR1	P34998	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CRHR1_P34998_OID20055_v1_Cardiometabolic	17	45620344	45620344	45835826	1	ENSG00000263715	2	multi_match_first	UKBB_EUR
