protein	gene	uniprot	sumstat_file	chr	tss	resource_source
SeqId_10000_28	CRYBB2	P43320	/data/Dutta_lab/aric/EA/SeqId_10000_28.PHENO1.glm.linear	22	25212564	ARIC
SeqId_10001_7	RAF1	P04049	/data/Dutta_lab/aric/EA/SeqId_10001_7.PHENO1.glm.linear	3	12585905	ARIC
SeqId_10008_43	GUCA1A	P43080	/data/Dutta_lab/aric/EA/SeqId_10008_43.PHENO1.glm.linear	6	42155406	ARIC
SeqId_10012_5	SPDEF	O95238	/data/Dutta_lab/aric/EA/SeqId_10012_5.PHENO1.glm.linear	6	34556329	ARIC
SeqId_10014_31	SNAI2	O43623	/data/Dutta_lab/aric/EA/SeqId_10014_31.PHENO1.glm.linear	8	48921429	ARIC
SeqId_10015_119	KCNAB2	Q13303	/data/Dutta_lab/aric/EA/SeqId_10015_119.PHENO1.glm.linear	1	5990927	ARIC
SeqId_10022_207	POLH	Q9Y253	/data/Dutta_lab/aric/EA/SeqId_10022_207.PHENO1.glm.linear	6	43576185	ARIC
SeqId_10023_32	VDR	P11473	/data/Dutta_lab/aric/EA/SeqId_10023_32.PHENO1.glm.linear	12	47879115	ARIC
SeqId_10024_44	HOGA1	Q86XE5	/data/Dutta_lab/aric/EA/SeqId_10024_44.PHENO1.glm.linear	10	97584323	ARIC
SeqId_10030_8	MUTYH	Q9UIF7	/data/Dutta_lab/aric/EA/SeqId_10030_8.PHENO1.glm.linear	1	45331270	ARIC
SeqId_10035_6	DUSP4	Q13115	/data/Dutta_lab/aric/EA/SeqId_10035_6.PHENO1.glm.linear	8	29348805	ARIC
SeqId_10036_201	ZHX3	Q9H4I2	/data/Dutta_lab/aric/EA/SeqId_10036_201.PHENO1.glm.linear	20	41202396	ARIC
SeqId_10037_98	SIGLEC12	Q96PQ1	/data/Dutta_lab/aric/EA/SeqId_10037_98.PHENO1.glm.linear	19	51500373	ARIC
SeqId_10040_63	TP63	Q9H3D4	/data/Dutta_lab/aric/EA/SeqId_10040_63.PHENO1.glm.linear	3	189631389	ARIC
